spieltag,team_H,team_A,goal_H,goal_A,goal_H_HT,goal_A_HT
"
                    21. Spieltag
                ",Preußen Münster ,1. FC Kaiserslautern ,0,0,0,1
"
                    21. Spieltag
                ",1. FC Saarbrücken ,VfB Stuttgart ,0,0,1,3
"
                    21. Spieltag
                ",Karlsruher SC ,1. FC Nürnberg ,1,2,2,1
"
                    21. Spieltag
                ",Eintracht Frankfurt ,Borussia Dortmund ,1,0,0,0
"
                    22. Spieltag
                ",1860 München ,Meidericher SV ,0,0,2,2
"
                    22. Spieltag
                ",1. FC Nürnberg ,1860 München ,1,1,0,0
"
                    22. Spieltag
                ",Borussia Dortmund ,Preußen Münster ,0,0,2,4
"
                    22. Spieltag
                ",1. FC Kaiserslautern ,1. FC Saarbrücken ,1,2,4,1
"
                    22. Spieltag
                ",VfB Stuttgart ,Karlsruher SC ,3,0,3,0
"
                    22. Spieltag
                ",Meidericher SV ,FC Schalke 04 ,2,0,1,1
"
                    22. Spieltag
                ",1. FC Köln ,Eintracht Frankfurt ,1,0,1,1
"
                    22. Spieltag
                ",Hamburger SV ,Werder Bremen ,1,1,1,1
"
                    23. Spieltag
                ",Eintracht Braunschweig ,Hertha BSC ,1,1,0,0
"
                    23. Spieltag
                ",Hertha BSC ,Borussia Dortmund ,0,0,2,3
"
                    23. Spieltag
                ",Werder Bremen ,Eintracht Braunschweig ,0,2,9,2
"
                    23. Spieltag
                ",1860 München ,Hamburger SV ,3,1,0,2
"
                    23. Spieltag
                ",Preußen Münster ,1. FC Köln ,0,2,0,2
"
                    23. Spieltag
                ",1. FC Saarbrücken ,Meidericher SV ,0,1,5,1
"
                    23. Spieltag
                ",Karlsruher SC ,1. FC Kaiserslautern ,2,0,3,2
"
                    23. Spieltag
                ",Eintracht Frankfurt ,VfB Stuttgart ,2,1,4,1
"
                    24. Spieltag
                ",FC Schalke 04 ,1. FC Nürnberg ,2,1,2,1
"
                    24. Spieltag
                ",Eintracht Braunschweig ,Hamburger SV ,0,0,2,2
"
                    24. Spieltag
                ",Meidericher SV ,1. FC Köln ,2,0,7,1
